idx,basic_situation,dilemma_situation,action_type,action,negative_consequence,parties_direct,parties_indirect,values_direct,values_indirect,reason_direct,reason_indirect,values_names,values_types,wvs,mft,virtue,emotion,maslow,background,topic,topic_group
17885,drinking out of milk and juice containers and not use a glass.,"John is a bachelor who lives alone and enjoys the convenience of drinking directly from milk and juice containers. One day, his friend Mike, who is a germophobe, visits and is horrified when he sees John drinking straight from the container. Should John continue his habit at the risk of offending Mike or should he adapt to using a glass while Mike is around?",not_to_do,Stop drinking directly from the container,"John chooses to use a glass while Mike is around. However, in his rush to accommodate, he drops the glass and it shatters, causing a mess. John ends up injuring his foot on a glass shard, which spoils their visit.","['John', 'Mike']",[],"['Adaptability', 'Comfort']",[],"['John shows his willingness to adapt and change his habits when it affects others negatively.', 'Mike feels more comfortable and respected when John uses a glass to drink.']",[],"['adaptability', 'comfort']","['direct', 'direct']","['Self-expression', 'Survival']","[nan, 'Care']","[nan, nan]","[nan, 'trust']","['safety', 'physiological']",is a bachelor who lives alone and enjoys the convenience of drinking directly from milk and juice containers,48,event_special
17914,destroying someone's property without permission.,"John discovers his friend's firearm that has been used in illegal activities. He thinks about destroying it to prevent further harm but worries about damaging personal property without consent. Should John destroy the firearm to potentially save lives, even though it would mean damaging his friend's property?",to_do,Destroy the Firearm,"John destroys the firearm. However, his friend finds out and reports him to the police for destruction of property. He faces legal consequences and his friendship is ruined.","['John', 'His friend']","['Police', 'Potential victims', 'Legal system']","['Integrity', ""Respect for others' property""]","['Law enforcement', 'Right to safety', 'Upholding the law']","['John shows integrity by choosing to prevent potential harm despite possible personal repercussions.', ""His friend's property rights are violated when John destroys the firearm.""]","['The police are involved as they enforce the law regarding property destruction.', ""Potential victims' safety is prioritized by John's decision to destroy the firearm."", 'The legal system upholds the law regarding property destruction, implicating John.']","['integrity', ""respect for others' property"", 'law enforcement', 'right to safety', 'upholding the law']","['direct', 'direct', 'indirect', 'indirect', 'indirect']","[nan, 'Survival', 'Survival', 'Survival', 'Traditional']","['Fairness', 'Fairness', 'Authority', 'Fairness', 'Authority']","[nan, nan, 'Courage', nan, nan]","['trust', 'trust', 'trust', 'trust', 'trust']","['self-esteem', 'safety', 'safety', 'safety', 'safety']",discovers his friend's firearm that has been used in illegal activities,31,issue_crime_addiction
17914,destroying someone's property without permission.,"John discovers his friend's firearm that has been used in illegal activities. He thinks about destroying it to prevent further harm but worries about damaging personal property without consent. Should John destroy the firearm to potentially save lives, even though it would mean damaging his friend's property?",not_to_do,Not Destroy the Firearm,"John decides not to destroy the firearm. His friend continues the illegal activities leading to a fatal shooting. The firearm is traced back to his friend and John is implicated for knowing about it and not reporting, facing legal trouble.","['John', 'His friend']","['Potential victims', 'Police', 'Legal system']","['Non', 'Accountability']","['Right to safety', 'Law enforcement', 'Upholding the law']","['interference', 'His friend should be held accountable for his illegal activities.']","[""Potential victims' safety is threatened by John's decision not to destroy the firearm."", 'The police enforce laws regarding illegal firearm activities.', 'The legal system is involved as it upholds laws regarding illegal firearm activities.']","['accountability', 'right to safety', 'law enforcement', 'upholding the law']","['direct', 'indirect', 'indirect', 'indirect']","['Secular-rational', 'Survival', 'Survival', 'Traditional']","['Fairness', 'Fairness', 'Authority', 'Authority']","[nan, nan, 'Courage', nan]","[nan, 'trust', 'trust', 'trust']","['self-esteem', 'safety', 'safety', 'safety']",discovers his friend's firearm that has been used in illegal activities,31,issue_crime_addiction
17929,saying thank you when someone pays you more than you usually ask for,"You are a struggling artist and sell your paintings for a modest price to make ends meet. A wealthy art collector, unaware of your usual price, offers significantly more for one of your pieces. Should you accept the additional money, or inform him about your usual price?",to_do,Accept the additional money,"You decide to take the extra money, but the collector later finds out that he overpaid. Feeling cheated, he tarnishes your reputation in the art community, making it harder for you to sell your work.","['You (the artist)', 'The art collector']","['Other potential buyers', 'The art community']","['Self', 'Trust']","['Trust in the market', 'Ethical standards']","['interest', 'He believes he is paying a fair price for the artwork.']","['They believe the prices set are fair and justified.', 'They expect all artists to conduct business with honesty and integrity.']","['self', 'trust']","['direct', 'direct']","[nan, 'Survival']","[nan, 'Loyalty']","[nan, nan]","[nan, 'trust']","['self-esteem', 'love and belonging']",are a struggling artist and sell your paintings for a modest price to make ends meet,39,issue_personal_career
17929,saying thank you when someone pays you more than you usually ask for,"You are a struggling artist and sell your paintings for a modest price to make ends meet. A wealthy art collector, unaware of your usual price, offers significantly more for one of your pieces. Should you accept the additional money, or inform him about your usual price?",not_to_do,Inform about the usual price,"You inform the collector about your usual price. He appreciates your honesty but decides not to purchase any painting, considering them too cheap and thus of low value. You miss an opportunity to make extra money.","['You (the artist)', 'The art collector']","['Other potential buyers', 'The art community']","['Honesty', 'Appreciation of fair trade']","['Trust in the market', 'Respect for honesty']","[""You feel it's right to tell the collector about your usual price."", 'He respects your honesty and transparency.']","['They appreciate transparency in pricing.', 'They uphold the value of honesty and integrity in business practices.']",['honesty'],['direct'],[nan],['Fairness'],['Truthfulness'],['trust'],['self-esteem'],are a struggling artist and sell your paintings for a modest price to make ends meet,39,issue_personal_career
17963,trying to accomplish what your authority figures ask of you.,"You're working at a pharmaceutical company and your boss asks you to promote a drug that has potential side effects. You know the drug could harm certain patients, but your boss insists it will generate significant revenue for the company. Should you prioritize your company's profit over patients' health?",to_do,Promoting the drug,"You follow your boss's orders and promote the drug. Shortly after, reports of serious side effects start pouring in, leading to lawsuits against the company. The company's reputation takes a massive hit and you have to deal with the guilt of having caused harm to innocent people.","['You', 'Your boss', 'Pharmaceutical company']","['Patients', 'Healthcare providers', 'Regulatory bodies']","['integrity', 'accountability', 'corporate social responsibility']","['right to health', 'duty of care', 'justice']","['You must uphold your own integrity by not promoting a harmful drug.', 'Your boss should be accountable for the potential harm the drug could cause.', 'The company should prioritize patient safety over profits.']","['Patients have the right to be informed about potential side effects of the drug.', 'Healthcare providers should be informed about the potential harm of the drug.', 'Regulatory bodies should ensure justice by investigating the harmful effects of the drug.']","['integrity', 'accountability', 'right to health', 'duty of care', 'justice']","['direct', 'direct', 'indirect', 'indirect', 'indirect']","[nan, 'Secular-rational', 'Survival', 'Traditional', nan]","['Fairness', 'Fairness', 'Fairness', 'Care', 'Fairness']","[nan, nan, nan, nan, nan]","['trust', nan, 'trust', 'trust', nan]","['self-esteem', 'self-esteem', 'safety', 'safety', 'safety']",re working at a pharmaceutical company and your boss asks you to promote a drug that has potential side effects,27,issue_wildlife_human_environment
17963,trying to accomplish what your authority figures ask of you.,"You're working at a pharmaceutical company and your boss asks you to promote a drug that has potential side effects. You know the drug could harm certain patients, but your boss insists it will generate significant revenue for the company. Should you prioritize your company's profit over patients' health?",not_to_do,Not promoting the drug,"You refuse to promote the drug, upsetting your boss. You're fired for insubordination and struggle to find another job. However, when the scandal about the drug's side effects breaks, you are relieved that you made the ethical choice.","['You', 'Your boss', 'Pharmaceutical company']","['Potential job employers', 'Family']","['moral courage', 'leadership integrity', 'corporate social responsibility']","['ethical standards', 'security']","['You show moral courage by refusing to promote a harmful drug.', 'Your boss should maintain leadership integrity by not forcing you to promote a harmful drug.', 'The company should prioritize patient safety over profits.']","['Potential employers should appreciate your ethical stance.', ""Your family's security might be at risk due to your potential job loss.""]","['moral courage', 'security']","['direct', 'indirect']","['Secular-rational', 'Survival']","['Fairness', 'Authority']","[nan, nan]","['trust', 'trust']","['self-esteem', 'safety']",re working at a pharmaceutical company and your boss asks you to promote a drug that has potential side effects,27,issue_wildlife_human_environment
18223,accepting drinks from strangers.,"You are alone at a bar and a stranger offers to buy you a drink. You are unsure if it's proper to accept the drink as you have always been taught not to take anything from strangers, but you are also aware that it is a common social gesture in such settings. Do you accept the drink from the stranger or decline it politely?",to_do,Accept the Drink,"Accepting the drink, you enjoy the stranger's company. Unfortunately, later you feel drowsy and realize too late that the drink was spiked. You wake up the next day with a pounding headache and missing valuables.","['You', 'Stranger']","['Bar staff', 'Other Patrons']","['Trust', 'Respect']","['Responsibility', 'Awareness']","['You trust the stranger by accepting the drink.', 'The stranger shows respect by offering a friendly gesture.']","[""The bar staff has the responsibility to ensure patrons' safety."", 'Other patrons should be aware of the situation and intervene if necessary.']","['trust', 'respect', 'responsibility', 'awareness']","['direct', 'direct', 'indirect', 'indirect']","['Survival', 'Self-expression', 'Traditional', nan]","['Loyalty', 'Authority', 'Authority', nan]","[nan, nan, nan, nan]","['trust', 'trust', nan, nan]","['love and belonging', 'self-esteem', 'self-esteem', 'self-actualization']",are alone at a bar and a stranger offers to buy you a drink,48,event_special
18223,accepting drinks from strangers.,"You are alone at a bar and a stranger offers to buy you a drink. You are unsure if it's proper to accept the drink as you have always been taught not to take anything from strangers, but you are also aware that it is a common social gesture in such settings. Do you accept the drink from the stranger or decline it politely?",not_to_do,Decline the Drink,"Deciding to decline the drink, the stranger takes offense, causing a scene and creating an uncomfortable environment. You spend the rest of your evening feeling embarrassed and awkward, which spoils your night out.","['You', 'Stranger']","['Bar staff', 'Other Patrons']","['Caution', 'Understanding']","['Professionalism', 'Empathy']","['You show caution by declining the drink from a stranger.', 'The stranger should understand your decision to decline.']","['The bar staff should professionally handle the situation.', 'Other patrons should empathize with your decision and the resulting situation.']","['caution', 'understanding', 'professionalism', 'empathy']","['direct', 'direct', 'indirect', 'indirect']","['Survival', nan, nan, 'Self-expression']","[nan, 'Care', 'Authority', 'Care']","[nan, nan, nan, nan]","['anticipation', 'trust', nan, nan]","['safety', 'self-actualization', 'self-esteem', 'love and belonging']",are alone at a bar and a stranger offers to buy you a drink,48,event_special
18290,spreading out big jobs,"A small but expanding business has just secured a major contract that requires significantly more work than their current workforce can handle. The business owner can either hire more staff, potentially putting the firm in financial risk, or spread the work among the existing staff, risking overworking them and damaging morale. Should the business owner prioritize the financial stability of the company or the wellbeing of their employees?",to_do,Hiring More Staff,"The owner decided to hire more staff to meet the contract requirements. However, the cost of training and salaries put the company into financial strain. They couldn't maintain the overheads, forcing them to liquidate assets and eventually declare bankruptcy.","['Business owner', 'New employees', 'Existing staff']","['Investors', 'Customers', 'Training providers']","['Financial Responsibility', 'Fair Employment', 'Job Security']","['Profitability', 'Reliable Service', 'Business Opportunity']","['Hiring more staff involves financial commitment and risk management.', 'Newly hired staff have the right to a fair and competitive salary.', ""The company's expansion and success could ensure their job security.""]","['Investors expect the new contract to yield increased profits.', 'Customers expect the same quality and timely delivery, regardless of the increased workload.', 'More staff means more training opportunities.']","['financial responsibility', 'job security', 'profitability']","['direct', 'direct', 'indirect']","['Survival', 'Survival', 'Survival']","[nan, nan, nan]","['Liberality', nan, nan]","['trust', 'trust', 'optimism']","['safety', 'safety', nan]",A small but expanding business has just secured a major contract that requires significantly more work than their current workforce can handle,24,business_organization
18290,spreading out big jobs,"A small but expanding business has just secured a major contract that requires significantly more work than their current workforce can handle. The business owner can either hire more staff, potentially putting the firm in financial risk, or spread the work among the existing staff, risking overworking them and damaging morale. Should the business owner prioritize the financial stability of the company or the wellbeing of their employees?",not_to_do,Not Hiring More Staff,"The owner decided against hiring, choosing to overwork existing staff to meet contract demands. Employee morale plummeted, productivity declined, and several key employees quit due to burnout. The company failed to meet contract deadlines, losing the contract and damaging their reputation.","['Business owner', 'Existing staff']","['Customers', 'Investors', 'Competitors']","['Fiscal Prudence', 'Work']","['Consistent Quality', 'Financial Stability', 'Fair Competition']","['The owner wants to avoid financial risks associated with hiring new staff.', 'life Balance']","['Customers expect the same quality they have been receiving.', 'Investors prefer a stable financial state over risky growth.', 'Competitors expect the company to meet its contract obligations without overworking employees or exploiting other unfair practices.']","['work', 'financial stability', 'fair competition']","['direct', 'indirect', 'indirect']","['Survival', 'Survival', 'Self-expression']","['Authority', nan, 'Fairness']","['Friendliness', nan, nan]","[nan, 'trust', 'optimism']","['self-esteem', 'safety', 'self-esteem']",A small but expanding business has just secured a major contract that requires significantly more work than their current workforce can handle,24,business_organization
18337,neighbors sharing with each other.,"Emma and Lily are neighbors who often share tools and household items. One day, Emma lends Lily a valuable family heirloom without realizing its worth. Should Emma ask for the item back, risking the harmony of their relationship, or let Lily keep it, potentially losing her family's valuable possession?",to_do,Asking for the item back,"Emma decides to ask for the heirloom back, causing a rift in their friendship. Lily feels accused and insulted. Their relationship turns sour, leading to hostility and discomfort whenever they cross paths.","['Emma', 'Emma', 'Lily', 'Lily']","['Family members of both Emma and Lily', 'Family members of both Emma and Lily', 'Other neighbors', 'Other neighbors']","['Honesty', 'Assertiveness', 'Understanding', ""Respect for other's property""]","['Solidarity', 'Respect for family history', 'Neutrality', 'Peaceful coexistence']","['Emma needs to be open about the value of the item.', 'She needs to stand up for her rights to retrieve her valuable possession.', 'Lily needs to comprehend the sentimental and monetary value of the heirloom.', 'Lily should respect that the item originally belongs to Emma.']","['They should support their respective family members.', 'They should respect the value of the heirloom.', 'They should avoid taking sides in the dispute.', 'They should promote peace in the neighborhood.']","['honesty', 'assertiveness', 'understanding', 'solidarity', 'peaceful coexistence']","['direct', 'direct', 'direct', 'indirect', 'indirect']","[nan, 'Self-expression', nan, 'Self-expression', 'Self-expression']","['Fairness', 'Authority', 'Care', 'Loyalty', 'Fairness']","['Truthfulness', nan, nan, nan, 'Friendliness']","['trust', nan, 'trust', 'trust', 'trust']","['self-esteem', 'self-esteem', 'self-actualization', 'love and belonging', 'safety']",and  are neighbors who often share tools and household items,9,role_duty_responsibility
18337,neighbors sharing with each other.,"Emma and Lily are neighbors who often share tools and household items. One day, Emma lends Lily a valuable family heirloom without realizing its worth. Should Emma ask for the item back, risking the harmony of their relationship, or let Lily keep it, potentially losing her family's valuable possession?",not_to_do,Not asking for the item back,"Emma chooses to not ask for the item back to maintain their friendship. However, over time, she feels resentment and regret for not asserting her right to her family's valuable possession. This affects her mental peace and relationship with her family.","['Emma', 'Emma', 'Lily', 'Lily']","[""Emma's family"", ""Emma's family""]","['Sacrifice', 'Tolerance', 'Gratitude', 'Respect for friendship']","['Forgiveness', 'Acceptance of loss']","['Emma has to let go of her valuable family heirloom for the sake of friendship.', 'Emma needs to tolerate the loss of her possession to maintain harmony.', ""Lily should be thankful for Emma's generosity."", 'Lily should value the friendship over the possession.']","['They need to forgive Emma for losing the heirloom.', ""They need to accept the loss of the family's valuable possession.""]","['sacrifice', 'tolerance', 'gratitude', 'respect for friendship', 'forgiveness']","['direct', 'direct', 'direct', 'direct', 'indirect']","['Traditional', 'Self-expression', nan, 'Self-expression', 'Traditional']","['Loyalty', 'Fairness', nan, 'Loyalty', 'Care']","[nan, nan, nan, nan, nan]","[nan, 'trust', 'joy', 'trust', 'trust']","[nan, 'self-actualization', 'self-actualization', 'love and belonging', nan]",and  are neighbors who often share tools and household items,9,role_duty_responsibility
18550,explaining to a friend why you cannot give them money when you cannot.,"You are financially stable and your friend knows this. Your friend is struggling financially and asks you for a loan, but you know they have a history of not repaying debts and mismanaging money. Should you lend them the money, potentially enabling their poor financial habits, or refuse and possibly strain your friendship?",to_do,Lend the money,"You lend your friend the money and they continue their reckless spending. They fail to repay the loan, leading to tension and arguments. Your relationship suffers, and you're out of pocket.","['You', 'Your friend']","['Family members', 'Other creditors']","['Financial generosity', 'Accountability']","['Gratitude', 'Trust']","['Because you have the means to assist your friend in need.', 'Because they should realize the implications of borrowing and the responsibility it entails.']","['Because their financial pressure may be eased by your generosity.', 'Because they may also expect your friend to repay their debts.']","['accountability', 'gratitude', 'trust']","['direct', 'indirect', 'indirect']","['Secular-rational', nan, 'Survival']","['Fairness', nan, 'Loyalty']","[nan, nan, nan]","[nan, 'joy', 'trust']","['self-esteem', 'self-actualization', 'love and belonging']",are financially stable and your friend knows this,6,close_relationship
18550,explaining to a friend why you cannot give them money when you cannot.,"You are financially stable and your friend knows this. Your friend is struggling financially and asks you for a loan, but you know they have a history of not repaying debts and mismanaging money. Should you lend them the money, potentially enabling their poor financial habits, or refuse and possibly strain your friendship?",not_to_do,Refuse the loan,"You refuse to lend your friend money. They feel hurt and betrayed, which creates friction in your friendship. Despite the strain, your friend is forced to seek help elsewhere, potentially facing their financial issues.","['You', 'Your friend']","['Other possible lenders', 'Family members']","['Financial prudence', 'Personal responsibility']","['Caution', 'Acceptance']","['Because lending to someone with a poor repayment history is risky.', 'Because they need to manage their financial situation independently.']","[""Because they too should be aware of your friend's repayment habits."", 'Because they may have to accept and adapt to the financial limitations.']","['financial prudence', 'personal responsibility', 'caution', 'acceptance']","['direct', 'direct', 'indirect', 'indirect']","['Survival', 'Self-expression', 'Survival', nan]","['Purity', 'Fairness', nan, 'Care']","['Liberality', nan, nan, nan]","['trust', nan, 'anticipation', 'trust']","['safety', 'self-esteem', 'safety', 'love and belonging']",are financially stable and your friend knows this,6,close_relationship
18553,Pregnancy  being good news.,"Sarah and John have been trying to conceive for years, and they finally receive positive pregnancy news. However, Sarah has just been offered a dream job that requires intense physical labor, and taking it would potentially put the baby at risk. Should Sarah prioritize her career or her pregnancy?",to_do,Accept the job,"Sarah accepts her dream job, immersing herself in the intense physical labor it requires. Over time, this leads to health complications related to her pregnancy. The stress and strain on her body results in a miscarriage. Sarah is devastated, and her relationship with John suffers.","['Sarah', 'Baby']","['John', ""Sarah's employer""]","['Ambition', 'Safety']","['Trust', 'Professionalism']","['Sarah wishes to pursue her career dreams.', ""The intense job could endanger the baby's safety.""]","['John trusts Sarah to make the right decision.', 'They offered Sarah the job knowing her capabilities.']","['ambition', 'safety', 'trust', 'professionalism']","['direct', 'direct', 'indirect', 'indirect']","['Secular-rational', 'Survival', 'Survival', nan]","['Authority', 'Care', 'Loyalty', 'Authority']","['Ambition', nan, nan, nan]","['anticipation', 'trust', 'trust', nan]","['self-esteem', 'safety', 'love and belonging', 'self-esteem']","and  have been trying to conceive for years, and they finally receive positive pregnancy news",25,issue_pregnancy
18553,Pregnancy  being good news.,"Sarah and John have been trying to conceive for years, and they finally receive positive pregnancy news. However, Sarah has just been offered a dream job that requires intense physical labor, and taking it would potentially put the baby at risk. Should Sarah prioritize her career or her pregnancy?",not_to_do,Decline the job,"Sarah decides to prioritize her pregnancy and declines the job offer. She and John happily await their baby, but she can't help but feel regret and resentment over the missed opportunity. This emotional stress strains their relationship and her self-esteem suffers.","['Sarah', 'John', 'Baby']","[""Sarah's potential employer""]","['Sacrifice', 'Love', 'Life']",['Understanding'],"['Sarah sacrifices her career for the wellbeing of the baby.', ""John supports Sarah's decision out of love."", ""The baby's life is prioritized by declining the job.""]","[""They understand Sarah's decision to prioritize her pregnancy.""]","['sacrifice', 'love', 'understanding']","['direct', 'direct', 'indirect']","['Traditional', nan, nan]","['Loyalty', 'Care', 'Care']","[nan, nan, nan]","[nan, 'love', 'trust']","[nan, 'love and belonging', 'self-actualization']","and  have been trying to conceive for years, and they finally receive positive pregnancy news",25,issue_pregnancy
18597,getting help when coming across an injured animal,"While walking home one evening, you stumble upon a severely injured stray animal. You want to help, but you're afraid that intervening might worsen the animal's condition or lead to an infection. Should you try to provide immediate assistance or call for professional help even if it might take longer?",to_do,Providing Immediate Assistance,"You decide to help the animal immediately. In the process, your lack of veterinary knowledge accidentally worsens the animal's condition. You also get scratched by the scared animal, which leads to a severe infection.","['You', 'The Injured Stray Animal']","['Your Family or Housemates', 'The Veterinarian']","['Courage', 'Right to life']","['Safety', 'Professionalism']","[""You're facing your fear and uncertainty to help a suffering being."", 'The animal deserves a chance to live and recover.']","['They may be indirectly exposed to any infection you might contract.', 'They could be called later to treat both the animal and your infection.']","['courage', 'right to life', 'safety', 'professionalism']","['direct', 'direct', 'indirect', 'indirect']","[nan, 'Traditional', 'Survival', nan]","[nan, 'Fairness', 'Care', 'Authority']","['Courage', nan, nan, nan]","[nan, nan, 'trust', nan]","['self-esteem', 'physiological', 'safety', 'self-esteem']","walking home one evening, you stumble upon a severely injured stray animal",8,issue_wildlife_human_environment
18597,getting help when coming across an injured animal,"While walking home one evening, you stumble upon a severely injured stray animal. You want to help, but you're afraid that intervening might worsen the animal's condition or lead to an infection. Should you try to provide immediate assistance or call for professional help even if it might take longer?",not_to_do,Waiting for Professional Help,"You decide to call for professional help and wait. However, help takes too long to arrive and the animal's condition deteriorates significantly, causing it unnecessary suffering and possibly leading to its death.","['You', 'The Injured Stray Animal', 'The Animal Rescue Team/ Veterinarian']","[""The Animal's Potential Future Caretakers"", 'Animal Shelter Staff']","['Prudence', 'Freedom from suffering', 'Responsibility']","['Compassion', 'Duty']","[""You're recognizing your limitations and seeking expert help."", 'Waiting for professional help minimizes the risk of inadvertently causing further harm.', 'They have the training and knowledge to properly help the animal.']","['They would want the best immediate care for the animal they may end up adopting.', 'They are responsible for the wellbeing of the animals in their care.']","['prudence', 'responsibility', 'compassion', 'duty']","['direct', 'direct', 'indirect', 'indirect']","['Survival', 'Traditional', 'Self-expression', 'Traditional']","[nan, 'Authority', 'Care', 'Authority']","[nan, nan, nan, nan]","[nan, nan, nan, 'trust']","['self-esteem', 'self-esteem', 'self-actualization', 'self-esteem']","walking home one evening, you stumble upon a severely injured stray animal",8,issue_wildlife_human_environment
18613,leaving kids unsupervised around fire.,"In a camping trip, parents are responsible for their kids' safety. However, they are faced with a situation where they have to leave the kids unsupervised around a fire to search for their lost pet. Should they leave the children alone for a few minutes or risk losing their pet forever?",to_do,Leave the kids unsupervised,"The parents decided to leave the kids unsupervised to search for their pet. However, during their absence, the children accidentally knocked over the fire causing a small forest fire. The parents returned to chaos and regretted their decision.","['Parents', 'Kids']","['Forest rangers', 'Firefighters', 'Campsite neighbors']","['Responsibility', 'Trust']","['Stewardship', 'Bravery', 'Cooperation']","['They have to ensure the safety of their children.', 'They trust their parents to make the right decisions for their safety.']","['They are responsible for preserving the forest and its wildlife.', 'They courageously face dangerous situations to protect others.', 'They have to work together to maintain a safe environment.']","['responsibility', 'trust', 'bravery', 'cooperation']","['direct', 'direct', 'indirect', 'indirect']","['Traditional', 'Survival', nan, 'Self-expression']","['Authority', 'Loyalty', nan, 'Fairness']","[nan, nan, 'Courage', nan]","[nan, 'trust', 'trust', 'trust']","['self-esteem', 'love and belonging', 'self-esteem', 'love and belonging']","a camping trip, parents are responsible for their kids' safety",23,friend
18613,leaving kids unsupervised around fire.,"In a camping trip, parents are responsible for their kids' safety. However, they are faced with a situation where they have to leave the kids unsupervised around a fire to search for their lost pet. Should they leave the children alone for a few minutes or risk losing their pet forever?",not_to_do,Not to leave the kids unsupervised,"The parents decided not to leave their kids unsupervised, prioritizing their safety over their lost pet. After the camping trip, they searched for their pet but it was too late. Their pet was found by animal control and they lost their beloved pet forever.","['Parents', 'Kids', 'Pet']","['Animal control', 'Local community members', 'Pet Shelter staff']","['Responsibility', 'Trust', 'Compassion']","['Animal welfare', 'Empathy', 'Animal welfare']","['They have to ensure the safety of their children.', 'They trust their parents to make the right decisions for their safety.', 'The parents show compassion by not abandoning their pet.']","['They are responsible for the well', ""They empathize with the family's loss and provide support."", 'They care for abandoned animals and try to find them new homes.']","['responsibility', 'trust', 'compassion', 'animal welfare', 'empathy', 'animal welfare']","['direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect']","['Traditional', 'Survival', 'Self-expression', 'Self-expression', 'Self-expression', 'Self-expression']","['Authority', 'Loyalty', 'Care', 'Care', 'Care', 'Care']","[nan, nan, nan, nan, nan, nan]","[nan, 'trust', nan, nan, nan, nan]","['self-esteem', 'love and belonging', 'self-actualization', nan, 'love and belonging', nan]","a camping trip, parents are responsible for their kids' safety",23,friend
18630,holding onto the past when it interferes with your family life.,"John's father was a war veteran who committed atrocities during the war. John's children found out and are disturbed, but John feels an obligation to honor his father's memory. Should John continue to uphold his father's image despite the negative impact it has on his children?",to_do,Upholding his father's image,"John maintains his father's image, creating a rift between him and his children. They lose trust in him and feel betrayed, leading to strained relationships.","['John', ""John's children""]","['Extended family', ""John's father's comrades""]","['Loyalty', 'Truth']","['Unity', 'Comradeship']","[""He wants to honor his father's memory despite his wrongdoings."", 'They believe in the importance of acknowledging past atrocities.']","['They want to maintain familial harmony.', 'They want to preserve the memory of their fallen friend.']","['loyalty', 'truth', 'unity']","['direct', 'direct', 'indirect']","['Traditional', nan, nan]","['Loyalty', nan, 'Loyalty']","[nan, 'Truthfulness', nan]","['trust', nan, nan]","['love and belonging', 'self-actualization', 'love and belonging']",s father was a war veteran who committed atrocities during the war,36,family
18630,holding onto the past when it interferes with your family life.,"John's father was a war veteran who committed atrocities during the war. John's children found out and are disturbed, but John feels an obligation to honor his father's memory. Should John continue to uphold his father's image despite the negative impact it has on his children?",not_to_do,Not upholding his father's image,"John decides not to uphold his father's image, causing self-guilt and remorse. He struggles with inner turmoil, potentially leading to mental health issues. His respect for his father gets tarnished, causing a personal internal conflict.",['John'],"[""John's children"", 'Extended family', ""John's father's comrades""]",['Honesty'],"['Trust', 'Unity', 'Comradeship']","[""He believes in acknowledging his father's wrongdoings to his children.""]","['They trust their father to tell them the truth about their grandfather.', 'They believe that acknowledging the truth can bring them closer together.', ""They believe in the importance of acknowledging their friend's wrongdoings.""]","['honesty', 'trust', 'unity']","['direct', 'indirect', 'indirect']","[nan, 'Survival', nan]","['Fairness', 'Loyalty', 'Loyalty']","['Truthfulness', nan, nan]","['trust', 'trust', nan]","['self-esteem', 'love and belonging', 'love and belonging']",s father was a war veteran who committed atrocities during the war,36,family
18631,being angry when a partner withdraws your child from school without telling you.,"You and your partner have been having disagreements about homeschooling your child. Your partner unilaterally decides to withdraw your child from school without your consent, causing you extreme anger. Should you confront your partner about their decision, potentially escalating the situation, or should you respect their decision and avoid conflict?",to_do,Confronting your partner,"Confronting your partner about their decision leads to a huge fight, causing emotional distress for everyone. Your child overhears the heated argument, leading to a strained relationship between your child and both of you, eventually affecting your child's mental health negatively.","['You', 'Your partner']","['Your child', 'Your child']","['Assertiveness', ""Respect for others' viewpoints""]","['Security', 'Emotional stability']","[""You have the right to express your disagreement with your partner's decision."", 'They must respect your opinion as the decision directly impacts your child.']","['The child needs to feel secure in their family environment, which can be disrupted by heated disagreements.', 'The emotional well']","['assertiveness', 'security', 'emotional stability']","['direct', 'indirect', 'indirect']","['Self-expression', 'Survival', nan]","['Authority', 'Authority', nan]","[nan, nan, 'Temperance']","[nan, 'trust', nan]","['self-esteem', 'safety', 'safety']",and your partner have been having disagreements about homeschooling your child,25,issue_pregnancy
18631,being angry when a partner withdraws your child from school without telling you.,"You and your partner have been having disagreements about homeschooling your child. Your partner unilaterally decides to withdraw your child from school without your consent, causing you extreme anger. Should you confront your partner about their decision, potentially escalating the situation, or should you respect their decision and avoid conflict?",not_to_do,Not confronting your partner,"Not confronting your partner makes you resentful as your opinion was disregarded. This creates a rift between you two, leading to emotional distance. Your child, sensing the tension, feels insecure, which impacts their emotional well-being and performance in homeschooling.","['You', 'Your partner']","['Your child', 'Your child']","['Self', ""Acknowledgement of others' feelings""]","['Emotional security', 'Stability of family environment']","['respect', 'They should acknowledge your feelings and the impact of their unilateral decision on you.']","['Your child needs emotional security, which could be disrupted by the underlying tension between you and your partner.', ""The family environment needs to be stable for the child's overall well""]","['self', 'emotional security']","['direct', 'indirect']","[nan, 'Survival']","[nan, 'Care']","[nan, nan]","[nan, 'trust']","['self-esteem', 'safety']",and your partner have been having disagreements about homeschooling your child,25,issue_pregnancy
